year,county,candidate,party,candidatevotes
2000,Autauga,Al Gore,democrat,4942.0
2000,Autauga,George W. Bush,republican,11993.0
2000,Baldwin,Al Gore,democrat,13997.0
2000,Baldwin,George W. Bush,republican,40872.0
2000,Barbour,Al Gore,democrat,5188.0
2000,Barbour,George W. Bush,republican,5096.0
2000,Bibb,Al Gore,democrat,2710.0
2000,Bibb,George W. Bush,republican,4273.0
2000,Blount,Al Gore,democrat,4977.0
2000,Blount,George W. Bush,republican,12667.0
2000,Bullock,Al Gore,democrat,3395.0
2000,Bullock,George W. Bush,republican,1433.0
2000,Butler,Al Gore,democrat,3606.0
2000,Butler,George W. Bush,republican,4127.0
2000,Calhoun,Al Gore,democrat,15781.0
2000,Calhoun,George W. Bush,republican,22306.0
2000,Chambers,Al Gore,democrat,5616.0
2000,Chambers,George W. Bush,republican,6037.0
2000,Cherokee,Al Gore,democrat,3497.0
2000,Cherokee,George W. Bush,republican,4154.0
2000,Chilton,Al Gore,democrat,4806.0
2000,Chilton,George W. Bush,republican,10066.0
2000,Choctaw,Al Gore,democrat,3707.0
2000,Choctaw,George W. Bush,republican,3600.0
2000,Clarke,Al Gore,democrat,4679.0
2000,Clarke,George W. Bush,republican,5988.0
2000,Clay,Al Gore,democrat,2045.0
2000,Clay,George W. Bush,republican,3719.0
2000,Cleburne,Al Gore,democrat,1664.0
2000,Cleburne,George W. Bush,republican,3333.0
2000,Coffee,Al Gore,democrat,5220.0
2000,Coffee,George W. Bush,republican,9938.0
2000,Colbert,Al Gore,democrat,10543.0
2000,Colbert,George W. Bush,republican,10518.0
2000,Conecuh,Al Gore,democrat,2783.0
2000,Conecuh,George W. Bush,republican,2699.0
2000,Coosa,Al Gore,democrat,2104.0
2000,Coosa,George W. Bush,republican,2382.0
2000,Covington,Al Gore,democrat,4440.0
2000,Covington,George W. Bush,republican,8961.0
2000,Crenshaw,Al Gore,democrat,1934.0
2000,Crenshaw,George W. Bush,republican,2793.0
2000,Cullman,Al Gore,democrat,9758.0
2000,Cullman,George W. Bush,republican,19157.0
2000,Dale,Al Gore,democrat,4906.0
2000,Dale,George W. Bush,republican,10593.0
2000,Dallas,Al Gore,democrat,10967.0
2000,Dallas,George W. Bush,republican,7360.0
2000,DeKalb,Al Gore,democrat,7056.0
2000,DeKalb,George W. Bush,republican,12827.0
2000,Elmore,Al Gore,democrat,6652.0
2000,Elmore,George W. Bush,republican,16777.0
2000,Escambia,Al Gore,democrat,4523.0
2000,Escambia,George W. Bush,republican,6975.0
2000,Etowah,Al Gore,democrat,17433.0
2000,Etowah,George W. Bush,republican,21087.0
2000,Fayette,Al Gore,democrat,3064.0
2000,Fayette,George W. Bush,republican,4582.0
