city,lat,lng
Trenton,38.607,-89.6844
Strawn,40.6537,-88.3999
Tilton,40.0941,-87.6398
Bluford,38.3256,-88.7366
Gillespie,39.1258,-89.8173
West York,39.1689,-87.673
Wenona,41.0486,-89.0522
Paris,39.6148,-87.6905
Mulkeytown,37.9721,-89.1111
St. Peter,38.8676,-88.8505
Cullom,40.8784,-88.2696
Aurora,41.7637,-88.2901
Chrisman,39.8044,-87.6752
Glencoe,42.1347,-87.7641
Twin Grove,40.4857,-89.0993
Mackinaw,40.534,-89.3556
North Henderson,41.0904,-90.4748
Arlington Heights,42.0956,-87.9825
Olympia Fields,41.517,-87.6924
Bone Gap,38.4449,-87.9975
Mattoon,39.4774,-88.3627
New Athens,38.3188,-89.8743
Crete,41.4399,-87.6231
Melvin,40.5709,-88.2471
Princeville,40.935,-89.7547
Panama,39.029,-89.5247
Liberty,39.8842,-91.1084
Sheffield,41.3573,-89.7372
Hanaford,37.9579,-88.8356
Apple Canyon Lake,42.4302,-90.1642
East Peoria,40.6734,-89.5419
South Pekin,40.4959,-89.6525
Loda,40.5162,-88.0759
Rockton,42.45,-89.0631
Dongola,37.3599,-89.1654
Bulpitt,39.5919,-89.4258
Cherry Valley,42.2221,-88.9716
Pistakee Highlands,42.4028,-88.2117
Bonfield,41.145,-88.0539
Round Lake Beach,42.379,-88.0811
Eddyville,37.5005,-88.5847
Mitchell,38.7631,-90.0816
Summerfield,38.5955,-89.7497
Buckley,40.5973,-88.0374
Exeter,39.7191,-90.4961
Northbrook,42.1292,-87.8353
Moweaqua,39.6265,-89.0189
Highwood,42.206,-87.8129
Nora,42.4565,-89.9459
Delavan,40.3711,-89.5459
Buncombe,37.4715,-88.9746
Odell,41.0021,-88.5224
Robbins,41.6431,-87.708
Berlin,39.7577,-89.9026
Willowbrook,41.7635,-87.9456
Streator,41.1242,-88.8295
Waterloo,38.3402,-90.1538
Rockford,42.2598,-89.0641
Belknap,37.3224,-88.9405
Flora,38.6688,-88.4758
Norwood,40.7075,-89.7005
Wauconda,42.2748,-88.1359
Rio,41.1093,-90.3988
Centralia,38.5224,-89.1233
Worth,41.6877,-87.7916
Henry,41.1173,-89.3567
Channahon,41.4211,-88.2593
Freeman Spur,37.8611,-88.9993
Waverly,39.5925,-89.9528
Danvers,40.5297,-89.1753
Manteno,41.2471,-87.8457
Orion,41.3515,-90.3767
Amboy,41.729,-89.3679
Belle Rive,38.2317,-88.7405
Oak Lawn,41.7139,-87.7528
Lincolnshire,42.1957,-87.9182
Rose Hill,39.1043,-88.1499
Big Rock,41.7669,-88.5264
Louisville,38.7696,-88.5068
Granville,41.2637,-89.23
Winslow,42.4929,-89.7949
Hillsboro,39.167,-89.4735
Raleigh,37.8262,-88.5304
Elizabeth,42.3164,-90.2206
Walshville,39.0689,-89.6189
La Rose,40.9787,-89.235
Nauvoo,40.5457,-91.3829
Nokomis,39.3001,-89.2852
Norris City,37.9789,-88.3279
Alorton,38.585,-90.1139
Round Lake Heights,42.3855,-88.1037
Toluca,41.0044,-89.1339
Northfield,42.1026,-87.7791
West Frankfort,37.8997,-88.9301
Modesto,39.4789,-89.9803
Fidelity,39.1546,-90.1642
East Alton,38.884,-90.1073
Bingham,39.1122,-89.2137
West Union,39.215,-87.6657
Downs,40.3998,-88.8904
Rantoul,40.3031,-88.1549
Loraine,40.1525,-91.2216
Alexis,41.0629,-90.5555
Concord,39.8154,-90.3698
Forest Lake,42.2103,-88.0532
Fairmont,41.5614,-88.0587
Elwood,41.4119,-88.1346
Galena,42.4218,-90.4293
Burnham,41.6376,-87.5447
New Berlin,39.7259,-89.9134
Le Roy,40.3395,-88.7629
Urbana,40.1106,-88.1972
Onarga,40.7153,-88.0107
Danforth,40.8218,-87.9778
Mason,38.9537,-88.6259
Wapella,40.2218,-88.9612
Smithfield,40.4744,-90.2949
North Aurora,41.8083,-88.3413
Standard,41.2559,-89.1814
Hinsdale,41.8005,-87.9273
Saunemin,40.8908,-88.4051
Pearl City,42.2668,-89.8271
Lyndon,41.7173,-89.9238
Country Club Hills,41.5638,-87.725
Hickory Hills,41.7248,-87.8281
Bement,39.9229,-88.5724
Steward,41.8493,-89.015
Valmeyer,38.3064,-90.2979
St. Anne,41.0233,-87.7184
Earlville,41.588,-88.9229
Carlyle,38.6218,-89.3733
Hettick,39.3557,-90.0372
Leaf River,42.1236,-89.404
Danville,40.1423,-87.6114
Geneva,41.8833,-88.3242
Donnellson,39.0306,-89.4745
Albers,38.5452,-89.6143
Villa Park,41.8864,-87.9779
St. Johns,38.0333,-89.24
Candlewick Lake,42.3524,-88.8693
Coal Valley,41.4416,-90.4464
Iuka,38.6183,-88.7876
Princeton,41.3809,-89.4648
Bethany,39.6441,-88.7412
Long Lake,42.3765,-88.1265
Wheaton,41.8561,-88.1083
Burnt Prairie,38.2508,-88.2586
Bartonville,40.6397,-89.6608
Willow Hill,38.9958,-88.0218
Thornton,41.5711,-87.6187
Belvidere,42.2544,-88.8649
Hammond,39.7994,-88.5921
Victoria,41.0334,-90.0952
Piper City,40.7562,-88.189
Bradford,41.1773,-89.6582
Lincolnwood,42.0054,-87.7329
Glendale Heights,41.9196,-88.0785
Dover,41.434,-89.3959
Buffalo Grove,42.1674,-87.9616
Bonnie,38.203,-88.9068
Granite City,38.7295,-90.1263
Rushville,40.1199,-90.5666
Dupo,38.5144,-90.2167
Spillertown,37.7641,-88.9198
Elburn,41.8838,-88.4615
Red Bud,38.2096,-89.9998
Bellflower,40.3403,-88.5265
Bush,37.8427,-89.1295
Greenwood,42.3915,-88.3894
Macon,39.7117,-88.9965
Deerfield,42.1654,-87.8516
Champaign,40.1144,-88.2735
Watson,39.0262,-88.5683
Christopher,37.9706,-89.053
Cantrall,39.9353,-89.679
Tamms,37.2416,-89.2714
Aviston,38.6163,-89.6088
Long Grove,42.1968,-88.0057
Lindenhurst,42.4175,-88.0257
Franklin Park,41.936,-87.8794
Clay City,38.6858,-88.3486
North Chicago,42.3172,-87.8596
Rockdale,41.5058,-88.1183
Heyworth,40.3138,-88.9928
Winfield,41.8776,-88.1506
Glasgow,39.5487,-90.48
Lakemoor,42.3396,-88.2028
Vernon,38.8014,-89.0896
Harvard,42.4297,-88.6212
New Burnside,37.5786,-88.7726
Bunker Hill,39.0416,-89.9512
Third Lake,42.3708,-88.0122
Caledonia,42.3686,-88.8939
Flat Rock,38.9037,-87.6734
Waterman,41.7683,-88.7659
Niantic,39.8541,-89.1652
West Dundee,42.0984,-88.3072
Compton,41.6942,-89.0863
Hillsdale,41.6108,-90.1751
Macedonia,38.0525,-88.7054
Cornell,40.992,-88.7297
Elk Grove Village,42.0061,-87.9929
Fillmore,39.1154,-89.2785
Buckner,37.9807,-89.0151
Sullivan,39.5954,-88.6085
Royal,40.1932,-87.9721
Yorkville,41.6561,-88.4508
Woodlawn,38.3282,-89.0345
Woodstock,42.3103,-88.4357
Owaneco,39.4815,-89.1949
Naperville,41.7483,-88.1657
Johnsonville,38.5208,-88.5382
Union,42.2315,-88.5447
Rockbridge,39.2693,-90.2066
Coal City,41.2763,-88.2805
Ivesdale,39.9458,-88.4558
Junction City,38.5773,-89.1259
Hanna City,40.6936,-89.8064
Du Bois,38.2214,-89.2127
Ludlow,40.3866,-88.1259
Oak Brook,41.8372,-87.9512
Irving,39.2054,-89.4056
St. Rose,38.6826,-89.5536
North Riverside,41.8461,-87.8263
Camp Point,40.0384,-91.0666
Sheridan,41.5285,-88.679
Maryville,38.7261,-89.9645
Benld,39.093,-89.8023
Westervelt,39.479,-88.8614
Mundelein,42.2692,-88.0101
Medora,39.1765,-90.1414
Anchor,40.5683,-88.5383
Savanna,42.0904,-90.1396
Papineau,40.9673,-87.7161
Oswego,41.6834,-88.3372
Shabbona,41.7655,-88.8848
Mount Clare,39.1002,-89.8254
Pierron,38.7772,-89.5645
Elliott,40.4661,-88.2769
Warsaw,40.3509,-91.4277
Mount Carroll,42.0947,-89.9769
Melrose Park,41.9029,-87.8642
Palos Heights,41.6637,-87.7959
Pontiac,40.8881,-88.6414
Tinley Park,41.567,-87.805
Greenview,40.085,-89.7407
Vermont,40.2957,-90.429
Edinburg,39.6579,-89.3904
Cahokia,38.5649,-90.1792
El Paso,40.7406,-89.0181
Rome,40.8753,-89.5128
Merrionette Park,41.6812,-87.7012
Riverdale,41.644,-87.6366
Lake Barrington,42.2121,-88.1684
McLean,40.3157,-89.1704
Golden,40.1104,-91.0193
Marquette Heights,40.6183,-89.6049
Newton,38.9872,-88.1644
Kampsville,39.2971,-90.6127
Kell,38.4913,-88.9033
Cherry,41.4283,-89.2137
Evanston,42.0463,-87.6942
Altamont,39.057,-88.7474
Cortland,41.9255,-88.6795
Oakdale,38.2649,-89.5035
Posen,41.6291,-87.6858
Mounds,37.1145,-89.2024
Creve Coeur,40.6422,-89.5986
Beecher,41.3504,-87.6171
McCullom Lake,42.3687,-88.2967
South Wilmington,41.1744,-88.2813
Iroquois,40.8286,-87.5844
Peotone,41.3312,-87.7937
Blue Mound,39.7005,-89.1185
Addieville,38.3913,-89.4865
Chenoa,40.739,-88.7256
Indianola,39.927,-87.7403
New Haven,37.9025,-88.1279
Verona,41.2157,-88.5049
Marseilles,41.3099,-88.685
Columbus,39.9882,-91.1456
Herrin,37.7984,-89.0304
Wood River,38.8632,-90.0774
Lynnville,39.6854,-90.3458
Rentchler,38.4918,-89.8693
Paw Paw,41.6876,-88.981
Burbank,41.7444,-87.7686
St. Jacob,38.7198,-89.7677
Marshall,39.3988,-87.6901
Bath,40.1906,-90.1425
South Roxana,38.812,-90.0611
Vergennes,37.9013,-89.3398
Broadwell,40.0669,-89.4429
Virgil,41.9555,-88.5292
Monroe Center,42.1005,-88.9944
Crestwood,41.6454,-87.7397
Bloomington,40.4757,-88.9703
Smithboro,38.8945,-89.3399
Farina,38.8301,-88.7797
Lakewood Shores,41.2713,-88.1361
Buckingham,41.047,-88.175
Weldon,40.1217,-88.7497
