year,county,candidate,party,candidatevotes
2000,Adams,Al Gore,democrat,12197.0
2000,Adams,George W. Bush,republican,17331.0
2000,Alexander,Al Gore,democrat,2357.0
2000,Alexander,George W. Bush,republican,1588.0
2000,Bond,Al Gore,democrat,3060.0
2000,Bond,George W. Bush,republican,3804.0
2000,Boone,Al Gore,democrat,6481.0
2000,Boone,George W. Bush,republican,8617.0
2000,Brown,Al Gore,democrat,1077.0
2000,Brown,George W. Bush,republican,1529.0
2000,Bureau,Al Gore,democrat,7754.0
2000,Bureau,George W. Bush,republican,8526.0
2000,Calhoun,Al Gore,democrat,1310.0
2000,Calhoun,George W. Bush,republican,1229.0
2000,Carroll,Al Gore,democrat,3113.0
2000,Carroll,George W. Bush,republican,3835.0
2000,Cass,Al Gore,democrat,2789.0
2000,Cass,George W. Bush,republican,2968.0
2000,Champaign,Al Gore,democrat,35515.0
2000,Champaign,George W. Bush,republican,34645.0
2000,Christian,Al Gore,democrat,6799.0
2000,Christian,George W. Bush,republican,7537.0
2000,Clark,Al Gore,democrat,2932.0
2000,Clark,George W. Bush,republican,4398.0
2000,Clay,Al Gore,democrat,2212.0
2000,Clay,George W. Bush,republican,3789.0
2000,Clinton,Al Gore,democrat,6436.0
2000,Clinton,George W. Bush,republican,8588.0
2000,Coles,Al Gore,democrat,8904.0
2000,Coles,George W. Bush,republican,10495.0
2000,Cook,Al Gore,democrat,1280547.0
2000,Cook,George W. Bush,republican,534542.0
2000,Crawford,Al Gore,democrat,3333.0
2000,Crawford,George W. Bush,republican,4974.0
2000,Cumberland,Al Gore,democrat,1870.0
2000,Cumberland,George W. Bush,republican,2964.0
2000,DeKalb,Al Gore,democrat,14798.0
2000,DeKalb,George W. Bush,republican,17139.0
2000,De Witt,Al Gore,democrat,2870.0
2000,De Witt,George W. Bush,republican,3968.0
2000,Douglas,Al Gore,democrat,3215.0
2000,Douglas,George W. Bush,republican,4734.0
2000,DuPage,Al Gore,democrat,152550.0
2000,DuPage,George W. Bush,republican,201037.0
2000,Edgar,Al Gore,democrat,3216.0
2000,Edgar,George W. Bush,republican,4833.0
2000,Edwards,Al Gore,democrat,978.0
2000,Edwards,George W. Bush,republican,2212.0
2000,Effingham,Al Gore,democrat,4225.0
2000,Effingham,George W. Bush,republican,9855.0
2000,Fayette,Al Gore,democrat,3886.0
2000,Fayette,George W. Bush,republican,5200.0
2000,Ford,Al Gore,democrat,2090.0
2000,Ford,George W. Bush,republican,3889.0
2000,Franklin,Al Gore,democrat,10201.0
2000,Franklin,George W. Bush,republican,8490.0
2000,Fulton,Al Gore,democrat,8940.0
2000,Fulton,George W. Bush,republican,6936.0
2000,Gallatin,Al Gore,democrat,1878.0
2000,Gallatin,George W. Bush,republican,1591.0
2000,Greene,Al Gore,democrat,2490.0
2000,Greene,George W. Bush,republican,3129.0
2000,Grundy,Al Gore,democrat,7516.0
2000,Grundy,George W. Bush,republican,8709.0
2000,Hamilton,Al Gore,democrat,1943.0
2000,Hamilton,George W. Bush,republican,2519.0
2000,Hancock,Al Gore,democrat,4256.0
2000,Hancock,George W. Bush,republican,5134.0
2000,Hardin,Al Gore,democrat,1184.0
2000,Hardin,George W. Bush,republican,1366.0
2000,Henderson,Al Gore,democrat,2030.0
2000,Henderson,George W. Bush,republican,1708.0
2000,Henry,Al Gore,democrat,11921.0
2000,Henry,George W. Bush,republican,10896.0
2000,Iroquois,Al Gore,democrat,4397.0
2000,Iroquois,George W. Bush,republican,8685.0
2000,Jackson,Al Gore,democrat,11773.0
2000,Jackson,George W. Bush,republican,9823.0
2000,Jasper,Al Gore,democrat,1815.0
2000,Jasper,George W. Bush,republican,3119.0
2000,Jefferson,Al Gore,democrat,6685.0
2000,Jefferson,George W. Bush,republican,8362.0
2000,Jersey,Al Gore,democrat,4355.0
2000,Jersey,George W. Bush,republican,4699.0
2000,Jo Daviess,Al Gore,democrat,4585.0
2000,Jo Daviess,George W. Bush,republican,5304.0
2000,Johnson,Al Gore,democrat,1928.0
2000,Johnson,George W. Bush,republican,3285.0
2000,Kane,Al Gore,democrat,60127.0
2000,Kane,George W. Bush,republican,76996.0
2000,Kankakee,Al Gore,democrat,19180.0
2000,Kankakee,George W. Bush,republican,20049.0
2000,Kendall,Al Gore,democrat,8444.0
2000,Kendall,George W. Bush,republican,13688.0
2000,Knox,Al Gore,democrat,12572.0
2000,Knox,George W. Bush,republican,9912.0
2000,Lake,Al Gore,democrat,115058.0
2000,Lake,George W. Bush,republican,120988.0
2000,LaSalle,Al Gore,democrat,23355.0
2000,LaSalle,George W. Bush,republican,21276.0
2000,Lawrence,Al Gore,democrat,2822.0
2000,Lawrence,George W. Bush,republican,3594.0
2000,Lee,Al Gore,democrat,6111.0
2000,Lee,George W. Bush,republican,8069.0
2000,Livingston,Al Gore,democrat,5829.0
2000,Livingston,George W. Bush,republican,9187.0
2000,Logan,Al Gore,democrat,4600.0
2000,Logan,George W. Bush,republican,8141.0
2000,McDonough,Al Gore,democrat,6080.0
2000,McDonough,George W. Bush,republican,6465.0
2000,McHenry,Al Gore,democrat,40698.0
2000,McHenry,George W. Bush,republican,62112.0
2000,McLean,Al Gore,democrat,24936.0
2000,McLean,George W. Bush,republican,34008.0
2000,Macon,Al Gore,democrat,24262.0
2000,Macon,George W. Bush,republican,23830.0
2000,Macoupin,Al Gore,democrat,11015.0
2000,Macoupin,George W. Bush,republican,9749.0
2000,Madison,Al Gore,democrat,59077.0
2000,Madison,George W. Bush,republican,48821.0
2000,Marion,Al Gore,democrat,8068.0
2000,Marion,George W. Bush,republican,8240.0
2000,Marshall,Al Gore,democrat,2570.0
2000,Marshall,George W. Bush,republican,3145.0
2000,Mason,Al Gore,democrat,3192.0
2000,Mason,George W. Bush,republican,3411.0
2000,Massac,Al Gore,democrat,2912.0
2000,Massac,George W. Bush,republican,3676.0
2000,Menard,Al Gore,democrat,2164.0
2000,Menard,George W. Bush,republican,3862.0
2000,Mercer,Al Gore,democrat,4400.0
2000,Mercer,George W. Bush,republican,3688.0
2000,Monroe,Al Gore,democrat,5797.0
2000,Monroe,George W. Bush,republican,7632.0
2000,Montgomery,Al Gore,democrat,6542.0
2000,Montgomery,George W. Bush,republican,6226.0
2000,Morgan,Al Gore,democrat,5899.0
2000,Morgan,George W. Bush,republican,8058.0
2000,Moultrie,Al Gore,democrat,2529.0
2000,Moultrie,George W. Bush,republican,3058.0
2000,Ogle,Al Gore,democrat,7673.0
2000,Ogle,George W. Bush,republican,12325.0
2000,Peoria,Al Gore,democrat,38604.0
2000,Peoria,George W. Bush,republican,36398.0
2000,Perry,Al Gore,democrat,4862.0
2000,Perry,George W. Bush,republican,4802.0
2000,Piatt,Al Gore,democrat,3488.0
2000,Piatt,George W. Bush,republican,4619.0
2000,Pike,Al Gore,democrat,3198.0
2000,Pike,George W. Bush,republican,4706.0
2000,Pope,Al Gore,democrat,927.0
2000,Pope,George W. Bush,republican,1346.0
